일련번호,신고구분,신고내용,접수일자,접수시각,관할기관,GPS X,GPS Y
830,로드킬,경기 구리시 토평동 48-102 번지에서 로드킬이 발생하였습니다.,2022-06-30,18:44,경기 구리시,127.15623707311991,37.58273425393807
829,로드킬,경북 영양군 영양읍 무창리 산 9-4 번지에서 로드킬이 발생하였습니다.,2022-06-30,10:53,경북 영양군,129.22570523518084,36.62147276427334
828,로드킬,경기 구리시 토평동 48-99 번지에서 로드킬이 발생하였습니다.,2022-06-29,18:32,경기 구리시,127.15657040274345,37.58173438188478
827,로드킬,인천 서구 백석동 81-18 번지에서 로드킬이 발생하였습니다.,2022-06-29,16:49,인천 서구,126.67175654910015,37.584308659375274
826,로드킬,울산 동구 방어동 1381 번지에서 로드킬이 발생하였습니다.,2022-06-29,15:34,울산 동구,129.40805450467676,35.49130508006088
825,로드킬,경기 김포시 고촌읍 신곡리 787-4 번지에서 로드킬이 발생하였습니다.,2022-06-29,08:35,경기 김포시,126.76324747022953,37.589087488751126
824,로드킬,서울 중구 저동2가 76-14 번지에서 로드킬이 발생하였습니다.,2022-06-28,13:37,서울 중구,126.98980935657221,37.565316688461635
823,로드킬,서울 중구 저동2가 76-14 번지에서 로드킬이 발생하였습니다.,2022-06-28,13:30,서울 중구,126.98980935657221,37.565316688461635
822,로드킬,서울 중구 저동2가 76-14 번지에서 로드킬이 발생하였습니다.,2022-06-28,13:29,서울 중구,126.98983713164039,37.56531668896393
821,로드킬,충남 아산시 배방읍 공수리 1029 번지에서 로드킬이 발생하였습니다.,2022-06-28,08:54,충남 아산시,127.0367161424617,36.7639425849054
820,로드킬,경남 창원시 진해구 자은동 835 번지에서 로드킬이 발생하였습니다.,2022-06-27,19:53,경남 창원시 진해구,128.70751844428395,35.14727696140519
819,로드킬,경기 남양주시 호평동 산 54-9 번지에서 로드킬이 발생하였습니다.,2022-06-27,12:29,경기 남양주시,127.24508718704894,37.66353158317458
818,로드킬,경기 포천시 군내면 유교리 249-3 번지에서 로드킬이 발생하였습니다.,2022-06-27,09:46,경기 포천시,127.2019746484507,37.85709049282102
817,로드킬,경기 포천시 군내면 유교리 110-7 번지에서 로드킬이 발생하였습니다.,2022-06-27,09:45,경기 포천시,127.20639070939089,37.86303429193086
816,로드킬,충남 예산군 응봉면 지석리 112-2 번지에서 로드킬이 발생하였습니다.,2022-06-27,09:38,충남 예산군,126.75832942152219,36.651006869166466
815,로드킬,충남 홍성군 홍북읍 대인리 40-8 번지에서 로드킬이 발생하였습니다.,2022-06-27,09:37,충남 홍성군,126.7468585658714,36.64139671800392
814,로드킬,충남 아산시 배방읍 세교리 965-13 번지에서 로드킬이 발생하였습니다.,2022-06-27,08:25,충남 아산시,127.08107260185633,36.777441743964104
813,로드킬,충남 홍성군 홍북읍 대인리 산 115-4 번지에서 로드킬이 발생하였습니다.,2022-06-27,08:18,충남 홍성군,126.75063585692443,36.645924015053225
812,로드킬,충남 홍성군 금마면 장성리 366-21 번지에서 로드킬이 발생하였습니다.,2022-06-27,08:05,충남 홍성군,126.69153153035421,36.605816714881776
811,로드킬,경기 여주시 가남읍 신해리 608-5 번지에서 로드킬이 발생하였습니다.,2022-06-27,07:58,경기 여주시,127.53023901524683,37.21828540671617
810,로드킬,충남 예산군 응봉면 지석리 112-2 번지에서 로드킬이 발생하였습니다.,2022-06-27,07:21,충남 예산군,126.75844051816027,36.65114574322589
809,로드킬,충남 홍성군 홍북읍 대인리 40-8 번지에서 로드킬이 발생하였습니다.,2022-06-27,07:19,충남 홍성군,126.74705298331078,36.641702240058585
808,로드킬,충남 홍성군 금마면 장성리 370-23 번지에서 로드킬이 발생하였습니다.,2022-06-27,07:12,충남 홍성군,126.68886513895143,36.605150082193425
807,로드킬,경기 용인시 수지구 죽전동 1437 번지에서 로드킬이 발생하였습니다.,2022-06-27,02:44,경기 용인시 수지구,127.1251363084073,37.32662597424919
806,로드킬,ROADKILL,2022-06-26,19:47,,126.74769179181118,36.64239661181306
805,로드킬,경기 하남시 천현동 259 번지에서 로드킬이 발생하였습니다.,2022-06-26,16:52,경기 하남시,127.20387279840556,37.531408043202156
804,로드킬,강원 고성군 토성면 천진리 415-2 번지에서 로드킬이 발생하였습니다.,2022-06-26,16:20,강원 고성군,128.55110848825427,38.25953919955952
803,로드킬,충남 당진시 석문면 통정리 542-13 번지에서 로드킬이 발생하였습니다.,2022-06-26,15:46,충남 당진시,126.58836444328351,36.990712763748526
802,로드킬,충남 보령시 주포면 마강리 147-6 번지에서 로드킬이 발생하였습니다.,2022-06-26,15:43,충남 보령시,126.58871300092133,36.42247594042663
801,로드킬,충남 아산시 둔포면 신항리 614-1 번지에서 로드킬이 발생하였습니다.,2022-06-25,18:53,충남 아산시,127.02993527105033,36.89987047019825
800,로드킬,충남 부여군 홍산면 상천리 542 번지에서 로드킬이 발생하였습니다.,2022-06-25,15:17,충남 부여군,126.74789658130426,36.2543045040902
799,로드킬,충남 홍성군 장곡면 도산리 527 번지에서 로드킬이 발생하였습니다.,2022-06-25,13:28,충남 홍성군,126.70367180480052,36.51038400102705
798,로드킬,강원 원주시 지정면 월송리 산 34-1 번지에서 로드킬이 발생하였습니다.,2022-06-25,12:41,강원 원주시,127.8599519949678,37.39429795436673
797,로드킬,부산 부산진구 당감동 404-1 번지에서 로드킬이 발생하였습니다.,2022-06-25,11:58,부산 부산진구,129.03843150214618,35.16525320404794
796,로드킬,경기 화성시 기안동 21-115 번지에서 로드킬이 발생하였습니다.,2022-06-25,10:41,경기 화성시,126.98781918786302,37.22477476512296
795,로드킬,경기 남양주시 진건읍 진관리 565-3 번지에서 로드킬이 발생하였습니다.,2022-06-25,09:18,경기 남양주시,127.16031793406468,37.65467000152564
794,로드킬,충남 공주시 정안면 인풍리 50-8 번지에서 로드킬이 발생하였습니다.,2022-06-25,08:59,충남 공주시,127.12232240826089,36.63987575559728
793,로드킬,경남 밀양시 내이동 1096-9 번지에서 로드킬이 발생하였습니다.,2022-06-25,08:51,경남 밀양시,128.74408879401642,35.49418110600285
792,로드킬,부산 기장군 정관읍 달산리 1037-1 번지에서 로드킬이 발생하였습니다.,2022-06-24,18:51,부산 기장군,129.18077511759313,35.3164602809339
791,로드킬,충북 청주시 흥덕구 옥산면 오산리 394-1 번지에서 로드킬이 발생하였습니다.,2022-06-24,18:37,충북 청주시 흥덕구,127.37054793075994,36.66134983603091
790,로드킬,경기 용인시 처인구 포곡읍 둔전리 406-99 번지에서 로드킬이 발생하였습니다.,2022-06-24,17:32,경기 용인시 처인구,127.2132960946127,37.26749586759601
789,로드킬,울산 울주군 범서읍 굴화리 산 13-1 번지에서 로드킬이 발생하였습니다.,2022-06-24,17:20,울산 울주군,129.2449288868512,35.560543789699835
788,로드킬,경기 파주시 적성면 자장리 168-9 번지에서 로드킬이 발생하였습니다.,2022-06-24,15:02,경기 파주시,126.86750433846333,37.962988092350436
787,로드킬,충남 홍성군 은하면 금국리 700 번지에서 로드킬이 발생하였습니다.,2022-06-23,13:31,충남 홍성군,126.58062670992108,36.5631810452334
786,로드킬,경북 울진군 온정면 선구리 산 159-2 번지에서 로드킬이 발생하였습니다.,2022-06-23,11:25,경북 울진군,129.3223586887402,36.75548638237342
785,로드킬,경기 안양시 만안구 박달동 928-2 번지에서 로드킬이 발생하였습니다.,2022-06-23,09:50,경기 안양시 만안구,126.88604611006798,37.409639344155984
784,로드킬,충남 천안시 동남구 신방동 912 번지에서 로드킬이 발생하였습니다.,2022-06-23,08:24,충남 천안시 동남구,127.1307619556211,36.78819133247853
783,로드킬,경기 이천시 장호원읍 오남리 600-7 번지에서 로드킬이 발생하였습니다.,2022-06-23,08:16,경기 이천시,127.61717859837238,37.09496861203681
782,로드킬,충남 예산군 오가면 원천리 1122-1 번지에서 로드킬이 발생하였습니다.,2022-06-22,08:40,충남 예산군,126.79840764803545,36.696752045356945
781,로드킬,충남 예산군 오가면 원천리 1122-1 번지에서 로드킬이 발생하였습니다.,2022-06-22,08:40,충남 예산군,126.79840764803545,36.696752045356945
780,로드킬,충남 홍성군 금마면 죽림리 산 63 번지에서 로드킬이 발생하였습니다.,2022-06-22,08:39,충남 홍성군,126.7127234963641,36.621926250447224
779,로드킬,경기 여주시 가남읍 태평리 230 번지에서 로드킬이 발생하였습니다.,2022-06-22,08:04,경기 여주시,127.541654799481,37.21056433052546
778,로드킬,충남 홍성군 광천읍 광천리 124-6 번지에서 로드킬이 발생하였습니다.,2022-06-21,16:42,충남 홍성군,126.62759598581654,36.50366126686439
777,로드킬,충남 홍성군 광천읍 광천리 468 번지에서 로드킬이 발생하였습니다.,2022-06-21,16:41,충남 홍성군,126.62712381800438,36.50332796554996
776,로드킬,경기 화성시 방교동 872-375 번지에서 로드킬이 발생하였습니다.,2022-06-21,16:04,경기 화성시,127.08939443926542,37.16156204374528
775,로드킬,ROADKILL,2022-06-21,12:57,,127.0454075095925,36.8451829182898
774,로드킬,전북 익산시 황등면 신성리 587-5 번지에서 로드킬이 발생하였습니다.,2022-06-21,12:39,전북 익산시,126.93149611203894,36.02644616621172
