종명,건수,비율(%)
고양이,31879,49.93
고라니,16057,25.15
너구리,3347,5.24
미동정(기타),3039,4.76
개,2257,3.54
비둘기,1183,1.85
미동정(조류),1029,1.61
노루,964,1.51
미동정(포유류),954,1.49
족제비,496,0.78
오소리,372,0.58
삵,326,0.51
꿩,279,0.44
까마귀,184,0.29
청설모,181,0.28
수달,145,0.23
까치,137,0.21
멧돼지,136,0.21
집비둘기,113,0.18
미동정(파충류),67,0.1
닭,52,0.08
멧토끼,51,0.08
토끼,42,0.07
오리,42,0.07
큰부리까마귀,39,0.06
멧비둘기,37,0.06
참새,35,0.05
직박구리,34,0.05
다람쥐,32,0.05
수리부엉이,29,0.05
담비,26,0.04
청둥오리,18,0.03
새매,17,0.03
갈매기,16,0.03
누룩뱀,15,0.02
유혈목이,14,0.02
부엉이,10,0.02
사슴,9,0.01
매,9,0.01
왜가리,9,0.01
흰뺨검둥오리,8,0.01
기러기,7,0.01
동박새,7,0.01
염소,6,0.01
구렁이,6,0.01
황조롱이,6,0.01
자라,6,0.01
어치,5,0.01
호랑지빠귀,5,0.01
쇠살모사,5,0.01
제비,4,0.01
돼지,4,0.01
올빼미,4,0.01
말똥가리,3,0.0
딱따구리,3,0.0
능구렁이,3,0.0
메추라기,3,0.0
참매,3,0.0
두더지,3,0.0
집오리,3,0.0
집쥐,3,0.0
대륙유혈목이,3,0.0
종다리,3,0.0
들꿩,3,0.0
산개구리,2,0.0
가마우지,2,0.0
파랑새,2,0.0
민물가마우지,2,0.0
뉴트리아,2,0.0
독수리,2,0.0
큰오색딱다구리,2,0.0
딱새,2,0.0
남생이,2,0.0
고슴도치,2,0.0
쇠백로,1,0.0
바다오리,1,0.0
두꺼비,1,0.0
큰기러기,1,0.0
물까치,1,0.0
알락할미새,1,0.0
멧종다리,1,0.0
황소개구리,1,0.0
산양,1,0.0
도롱뇽,1,0.0
찌르레기,1,0.0
노랑턱멧새,1,0.0
미동정(양서류),1,0.0
백로,1,0.0
검은댕기해오라기,1,0.0
비바리뱀,1,0.0
솔부엉이,1,0.0
쏙독새,1,0.0
새홀리기,1,0.0
후투티,1,0.0
중대백로,1,0.0
박쥐,1,0.0
도요새,1,0.0
참개구리,1,0.0
갈까마귀,1,0.0
살모사,1,0.0
붉은머리오목눈이,1,0.0
덤불해오라기,1,0.0
무자치,1,0.0
송아지,1,0.0
해오라기,1,0.0
여우,1,0.0
대백로,1,0.0
물닭,1,0.0
붉은사슴,1,0.0
쇠기러기,1,0.0
