일련번호,접수일자,관할기관,로드킬_위도,로드킬_경도,가까운_관측소_번호,가까운_관측소_이름,거리_km,관측소_운영여부,평균기온,강수량
1,2020-08-01,경기 부천시,37.52206835,126.7889135,112,인천,15.29,True,3.0,5.5
2,2020-08-01,경기 가평군,37.65106547,127.4942022,202,양평,18.07,True,1.0,3.0
3,2020-08-01,세종특별자치시 세종시,36.51653285,127.30953,239,세종,6.78,True,1.2,3.5
4,2020-08-01,충남 홍성군,36.57612557,126.6750061,177,홍성,9.13,True,1.8,4.7
5,2020-08-01,전남 해남군,34.46443302,126.6757542,170,완도,7.99,True,1.0,3.1
6,2020-08-01,충남 예산군,36.70794571,126.8310986,177,홍성,13.96,True,1.8,4.7
7,2020-08-01,경기 이천시,37.28894335,127.5220989,203,이천,4.35,True,1.3,3.3
8,2020-08-01,경기 광명시,37.44741244,126.8817121,108,서울,15.66,True,1.7,4.9
9,2020-08-01,경기 고양시 일산서구,37.68932449,126.7209988,99,파주,22.22,True,1.2,3.3
10,2020-08-01,충남 공주시,36.52202585,126.9527586,239,세종,26.39,True,1.2,3.5
11,2020-08-01,서울 동작구,37.5124333,126.9372604,108,서울,7.02,True,1.7,4.9
12,2020-08-01,경기 시흥시,37.4093326,126.8173584,112,인천,18.61,True,3.0,5.5
13,2020-08-01,충남 아산시,36.78419135,127.1044868,232,천안,16.94,True,1.0,3.6
14,2020-08-01,전북 순창군,35.36452821,127.105469,254,순창군,2.23,True,1.0,5.1
15,2020-08-01,경기 용인시 기흥구,37.31448828,127.1098326,119,수원,11.97,True,2.0,4.4
16,2020-08-01,경기 화성시,37.15420235,127.1184196,119,수원,17.65,True,2.0,4.4
17,2020-08-01,강원 강릉시,37.68778494,129.0317188,105,강릉,14.26,True,2.0,4.8
18,2020-08-01,경기 화성시,37.0339329,126.7679569,119,수원,32.77,True,2.0,4.4
19,2020-08-01,경기 용인시 처인구,37.17692571,127.3332315,203,이천,16.51,True,1.3,3.3
20,2020-08-01,서울 송파구,37.5118806,127.0917454,108,서울,12.93,True,1.7,4.9
21,2020-08-01,경기 의왕시,37.35684205,126.9879266,119,수원,9.4,True,2.0,4.4
22,2020-08-01,경북 상주시,36.65397109,127.8782494,226,보은,22.53,True,0.7,3.1
23,2020-08-01,충북 괴산군,36.66049802,127.8749718,226,보은,22.97,True,0.7,3.1
24,2020-08-01,경북 포항시 남구,36.02910185,129.374431,138,포항,0.6,True,2.4,3.5
25,2020-08-01,경기 과천시,37.41839039,127.0036177,119,수원,16.33,True,2.0,4.4
26,2020-08-01,강원 원주시,37.41368564,127.9212233,114,원주,8.76,True,0.9,2.2
27,2020-08-01,강원 원주시,37.41368564,127.9212233,114,원주,8.76,True,0.9,2.2
28,2020-08-01,충남 아산시,36.82121189,126.9493063,177,홍성,29.57,True,1.8,4.7
33,2020-08-01,경기 여주시,37.41126303,127.5867557,202,양평,11.84,True,1.0,3.0
34,2020-08-02,경남 사천시,34.96250936,128.0672777,295,남해,20.7,True,1.2,3.2
35,2020-08-02,제주특별자치도 제주시,33.29086898,126.2440996,185,고산,7.56,True,7.0,8.6
36,2020-08-02,대구 동구,35.878523,128.6693073,143,대구,4.59,True,1.3,4.3
37,2020-08-02,강원 원주시,37.32247444,127.9191706,114,원주,2.95,True,0.7,3.0
38,2020-08-02,경남 창원시 마산합포구,35.08286537,128.5703663,155,창원,9.71,True,1.8,4.9
39,2020-08-02,강원 원주시,37.37363526,127.937834,114,원주,4.09,True,0.7,3.0
40,2020-08-02,경기 성남시 분당구,37.39795071,127.1294116,119,수원,18.91,True,2.0,8.5
41,2020-08-02,,37.2591786,126.5008934,112,인천,26.66,True,3.9,7.9
42,2020-08-02,전남 담양군,35.26606561,126.9846496,156,광주,13.37,True,3.0,6.8
43,2020-08-02,전북 전주시 완산구,35.83166727,127.1228996,146,전주,1.15,True,1.6,3.1
44,2020-08-02,경기 광주시,37.50177461,127.3047805,202,양평,16.8,True,1.5,3.8
45,2020-08-02,충북 증평군,36.77806156,127.567859,131,청주,19.15,True,1.6,3.7
46,2020-08-02,울산 울주군,35.56079142,129.1216904,152,울산,19.41,True,2.8,4.8
47,2020-08-03,부산 강서구,35.16283474,128.9265809,253,김해시,8.13,True,2.3,5.0
48,2020-08-03,경기 안성시,37.00480598,127.2397454,232,천안,27.36,True,1.3,3.5
49,2020-08-03,인천 중구,37.48859573,126.5374113,112,인천,7.81,True,4.4,8.0
50,2020-08-03,충남 논산시,36.14865769,127.1570546,236,부여,25.27,True,2.4,6.0
51,2020-08-03,충남 공주시,36.59232669,127.1649585,239,세종,13.87,True,1.8,3.9
52,2020-08-03,부산 북구,35.21544166,129.0345694,257,양산시,10.31,True,3.4,5.1
53,2020-08-03,충남 아산시,36.79193951,127.0539637,232,천안,21.51,True,1.3,3.5
55,2020-08-03,경북 경주시,35.84989825,129.2361992,283,경주시,4.82,True,3.2,7.8
56,2020-08-04,울산 울주군,35.55559882,129.1862956,152,울산,13.75,True,2.9,4.5
57,2020-08-04,인천 강화군,37.68917973,126.3898646,201,강화,5.36,True,4.5,7.8
58,2020-08-04,충남 태안군,36.67660682,126.2933737,129,서산(농),21.03,True,3.2,5.1
59,2020-08-04,강원 삼척시,37.36090937,129.1096382,106,동해,16.31,True,1.5,5.3
60,2020-08-04,서울 송파구,37.47799684,127.146741,108,서울,19.04,True,3.5,5.7
61,2020-08-04,,37.75175684,126.4709382,201,강화,5.39,True,4.5,7.8
62,2020-08-04,전북 완주군,35.80719675,127.0529625,146,전주,6.9,True,1.8,3.5
63,2020-08-04,인천 부평구,37.48082277,126.7550569,112,인천,11.49,True,4.1,7.1
64,2020-08-04,강원 삼척시,37.44926101,129.1704352,106,동해,7.61,True,1.5,5.3
65,2020-08-04,서울 도봉구,37.66266671,127.0329135,108,서울,11.74,True,3.5,5.7
66,2020-08-04,경기 양주시,37.82092585,127.070933,98,동두천,9.05,True,3.2,6.3
67,2020-08-04,경기 부천시,37.52659595,126.8099669,108,서울,14.61,True,3.5,5.7
68,2020-08-04,전북 무주군,35.9105858,127.7593647,284,거창,30.26,True,1.3,4.0
69,2020-08-04,경기 광주시,37.40078612,127.262232,202,양평,22.71,True,1.1,4.3
70,2020-08-04,대전 유성구,36.36380148,127.3239217,133,대전,4.41,True,1.4,4.2
71,2020-08-05,충남 공주시,36.50994443,126.9784787,239,세종,23.93,True,1.0,3.3
72,2020-08-05,충남 천안시 동남구,36.74177989,127.1095986,232,천안,16.47,True,1.4,4.8
73,2020-08-05,경기 안성시,36.98944611,127.2054714,232,천안,26.41,True,1.4,4.8
74,2020-08-05,서울 중구,37.56523336,126.9894483,108,서울,2.19,True,1.9,4.6
75,2020-08-05,경기 남양주시,37.51555059,127.298253,202,양평,17.57,True,1.4,3.4
76,2020-08-05,경기 화성시,37.16897395,126.8737207,119,수원,15.15,True,2.3,5.1
77,2020-08-05,경기 포천시,38.04348441,127.2051633,95,철원,14.49,True,1.5,4.1
78,2020-08-05,경기 포천시,38.04701175,127.2046633,95,철원,14.2,True,1.5,4.1
79,2020-08-05,충남 청양군,36.43156558,127.0125886,236,부여,19.51,True,1.4,4.2
80,2020-08-05,경남 김해시,35.17871935,128.7970648,253,김해시,10.24,True,2.7,5.4
81,2020-08-05,대구 달성군,35.90101612,128.443939,143,대구,15.87,True,1.7,4.1
82,2020-08-05,경기 김포시,37.67307428,126.5979835,201,강화,13.88,True,3.0,8.1
83,2020-08-05,충북 청주시 청원구,36.67121166,127.4759542,131,청주,4.75,True,1.2,2.9
84,2020-08-05,충북 청주시 청원구,36.67312819,127.4807592,131,청주,5.2,True,1.2,2.9
85,2020-08-05,경북 경주시,35.8684234,129.213923,283,경주시,5.79,True,3.5,6.4
86,2020-08-06,경기 구리시,37.60470362,127.1464318,108,서울,16.34,True,3.3,6.5
87,2020-08-06,서울 성북구,37.61239567,127.0664394,108,서울,9.97,True,3.3,6.5
88,2020-08-06,전남 구례군,35.32084524,127.4667693,247,남원,12.86,True,2.2,4.9
89,2020-08-06,충남 아산시,36.79549448,127.0451311,232,천안,22.35,True,2.1,6.2
90,2020-08-06,서울 강남구,37.49027161,127.0633599,108,서울,12.47,True,3.3,6.5
91,2020-08-06,경기 오산시,37.16089458,127.0407047,119,수원,13.32,True,3.6,8.8
