관측일,지점번호,일평균풍속,일풍정,최대풍향,최대풍속,최대풍속시각,최대순간풍향,최대순간풍속,최대순간풍속시각,일평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일평균이슬점온도,일평균지면온도,일최저초상온도,일평균상대습도,최저습도,최저습도시각,일평균수증기압,소형증발량,대형증발량,안개계속시간,일평균현지기압,일평균해면기압,최고해면기압,최고해면기압시각,최저해면기압,최저해면기압시각,일평균전운량,일조합,가조시간,캄벨일조,일사합,최대1시간일사,최대1시간일사시각,일강수량,9-9강수량,강수계속시간,1시간최다강수량,1시간최다강수량시각,10분최다강수량,10분최다강수량시각,최대강우강도,최대강우강도시각,최심신적설,최심신적설시각,최심적설,최심적설시각,0.5m지중온도,1.0m지중온도,1.5m지중온도,3.0m지중온도,5.0m지중온도
20200801,90,0.7,616,2,2.2,831,32,4.3,36,26.3,29.6,1045,23.1,2354,22.2,27.0,22.5,79.1,63.0,147,26.7,-9.0,-9.0,-9.00,1007.1,1009.1,1010.3,1,1008.0,1805,8.9,1.5,14.1,-9.0,-9.00,-9.00,-9,4.1,-9.0,-9.00,2.9,1542,1.0,1616,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,93,0.6,500,14,2.3,1559,16,4.2,1556,24.2,25.9,1240,22.9,459,23.5,25.2,22.5,96.4,90.0,1757,29.0,1.6,1.1,-9.00,999.8,1010.7,1012.8,348,1008.4,1806,10.0,0.1,14.1,-9.0,5.59,1.34,1100,24.1,21.1,12.83,11.0,1453,3.8,1543,-9.0,-9,-9.0,-9,-9.0,-9,25.1,23.1,21.6,19.1,15.8,
20200801,95,0.9,760,20,3.5,48,20,6.6,44,23.3,25.1,11,22.2,1218,23.2,24.7,22.3,100.0,100.0,1,28.5,1.4,1.0,-9.00,992.7,1010.4,1013.0,109,1008.1,1744,9.1,1.3,14.1,-9.0,5.00,1.31,1300,64.9,57.1,-9.00,24.9,1129,13.8,1210,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,98,0.9,739,23,2.6,2119,16,5.2,2026,23.6,26.0,1803,22.5,1207,23.4,25.2,22.6,98.8,92.0,1816,28.7,-9.0,-9.0,-9.00,997.5,1010.6,1013.4,39,1008.0,1803,9.4,0.3,14.1,-9.0,4.61,0.93,1300,73.4,-9.0,-9.00,19.1,901,12.6,1149,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,99,1.2,1006,20,3.3,2037,20,7.2,2047,23.8,26.4,1810,22.1,817,23.4,25.0,22.7,97.9,89.0,1808,28.8,-9.0,-9.0,-9.00,1006.9,1010.4,1013.2,8,1007.9,1733,9.3,0.2,14.1,-9.0,5.37,1.23,1300,113.8,-9.0,-9.00,39.4,810,14.3,708,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,100,2.3,1977,25,5.5,1237,27,9.1,1232,21.9,25.6,1300,19.7,550,20.4,23.5,19.3,91.9,73.0,1341,24.0,2.9,2.0,-9.00,925.8,1010.6,1013.3,552,1008.6,1623,9.3,0.8,14.1,-9.0,11.26,2.27,1200,5.9,-9.0,-9.00,2.8,400,0.9,445,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,101,0.7,635,20,2.7,139,20,5.2,135,24.7,26.0,1231,23.5,502,23.5,25.2,22.8,93.3,82.0,1148,28.9,1.6,1.1,-9.00,1002.1,1010.7,1012.9,57,1008.4,1800,-9.0,0.1,14.1,-9.0,5.63,1.46,1100,25.0,17.3,-9.00,8.5,128,6.1,130,-9.0,-9,-9.0,-9,-9.0,-9,25.4,22.9,21.2,17.6,15.3,
20200801,102,3.8,3306,20,8.2,640,18,13.9,635,21.9,23.3,613,20.7,2354,21.8,23.0,20.1,100.0,98.0,1216,26.2,1.3,0.9,5.95,1003.0,1007.1,1010.4,1,1005.0,1732,8.1,0.0,14.1,-9.0,6.12,1.17,1200,15.2,-9.0,12.67,6.7,611,2.3,1542,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,104,1.2,1010,16,2.9,2248,25,5.2,502,25.8,29.4,1310,22.7,2359,22.5,27.5,22.1,82.9,63.0,1310,27.3,2.6,1.8,-9.00,1000.7,1009.2,1010.5,4,1007.9,1926,9.0,1.9,14.1,-9.0,8.81,1.58,800,2.3,2.8,7.92,0.9,1638,0.4,1706,-9.0,-9,-9.0,-9,-9.0,-9,24.2,21.2,19.8,16.9,13.6,
20200801,105,2.0,1736,23,4.8,1043,23,8.3,1047,27.7,30.5,1350,24.4,2357,22.5,26.9,22.9,74.6,59.0,845,27.3,3.0,2.1,-9.00,1006.7,1009.7,1011.1,521,1008.4,1624,9.1,1.6,14.1,-9.0,9.24,1.78,800,0.8,-9.0,-9.00,0.3,435,0.3,516,-9.0,-9,-9.0,-9,-9.0,-9,24.9,22.8,21.7,18.8,15.7,
20200801,106,0.6,544,25,2.2,2113,16,3.5,1427,25.0,28.4,1237,22.8,536,21.7,21.0,23.0,83.0,65.0,820,26.0,-9.0,-9.0,-9.00,1005.4,1010.0,1011.2,615,1008.1,1917,9.0,1.8,14.1,-9.0,-9.00,-9.00,-9,3.6,-9.0,-9.00,3.2,2029,1.0,2105,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,108,1.7,1490,18,4.9,1948,18,9.0,1952,25.3,26.9,1113,24.3,546,23.6,25.7,23.1,90.9,82.0,1957,29.2,1.6,1.1,-9.00,1000.5,1010.3,1013.1,2,1007.7,1748,9.8,0.0,14.1,-9.0,5.31,0.93,1000,39.1,41.5,16.50,23.6,1222,8.9,1224,-9.0,-9,-9.0,-9,-9.0,-9,24.9,23.4,22.6,19.3,15.4,
20200801,112,3.0,2624,18,5.5,815,25,9.2,1700,24.4,25.5,1010,23.2,1106,23.2,25.4,22.8,93.6,83.0,1747,28.5,1.5,1.1,2.07,1002.0,1009.8,1012.8,26,1007.1,1733,10.0,0.1,14.1,-9.0,5.61,0.73,1300,38.2,31.8,17.92,16.4,1015,13.0,1056,-9.0,-9,-9.0,-9,-9.0,-9,24.1,22.1,20.7,17.9,15.2,
20200801,114,0.9,740,20,2.2,1545,18,4.7,202,25.4,30.1,1316,22.3,326,21.0,27.0,21.8,78.0,54.0,1324,24.8,3.1,2.2,-9.00,993.7,1010.6,1013.3,303,1008.0,1804,9.0,1.5,14.1,-9.0,10.76,2.64,1100,33.9,-9.0,-9.00,12.8,153,8.6,203,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,115,2.6,2225,25,7.8,2337,27,13.8,2345,26.5,30.3,1130,23.1,53,22.7,27.4,21.2,80.4,61.0,641,27.8,5.0,3.5,-9.00,985.4,1010.4,1011.6,23,1009.4,1504,8.3,3.4,14.1,-9.0,18.53,3.03,1000,0.0,1.2,1.67,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,24.0,21.7,20.1,15.8,14.9,
20200801,119,2.0,1732,20,4.4,1533,20,8.0,1532,26.2,29.2,1153,24.0,2229,24.6,26.3,23.7,91.4,77.0,1202,30.9,2.0,1.4,-9.00,1005.9,1010.4,1013.4,121,1007.7,1733,9.4,0.3,14.1,-9.0,8.22,1.35,1000,28.7,92.8,9.00,16.7,2328,7.7,1258,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,121,0.6,481,34,3.5,411,34,6.8,404,24.6,28.8,1302,20.9,441,22.5,26.8,21.4,89.3,65.0,1348,27.2,-9.0,-9.0,-9.00,984.1,1011.1,1013.9,420,1008.4,1812,9.6,1.8,14.1,-9.0,-9.00,-9.00,-9,32.7,-9.0,-9.00,18.6,342,7.2,415,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,127,1.0,863,23,3.0,1443,20,6.5,1835,26.0,30.2,1159,22.7,2319,22.8,27.3,22.5,83.9,63.0,1249,27.7,-9.0,-9.0,-9.00,998.0,1010.9,1013.3,1,1008.4,1746,9.0,2.8,14.0,-9.0,-9.00,-9.00,-9,21.4,-9.0,-9.00,16.1,2240,5.4,2304,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,129,3.2,2741,36,5.5,1719,2,8.8,1710,25.1,27.6,1026,23.7,1948,23.4,25.8,23.3,90.9,78.0,1020,28.8,1.9,1.4,-9.00,1007.4,1010.3,1013.3,1,1007.8,1656,8.6,0.6,14.0,-9.0,6.80,1.14,1000,5.1,9.8,-9.00,1.8,1501,0.7,1135,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,130,1.7,1488,16,3.4,1737,18,6.2,2105,26.8,32.3,1151,23.3,2324,22.6,29.4,23.3,78.8,58.0,1155,27.4,-9.0,-9.0,-9.00,1004.9,1010.4,1011.6,613,1008.5,1920,8.9,4.6,14.0,-9.0,-9.00,-9.00,-9,6.0,-9.0,-9.00,5.1,2028,3.0,2058,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,131,1.4,1237,16,2.9,1805,14,6.0,1150,26.5,31.0,1152,23.5,2329,23.1,28.2,23.5,82.6,62.0,1210,28.3,3.3,2.3,-9.00,1004.3,1010.7,1013.2,1,1008.3,1759,8.4,2.1,14.0,-9.0,12.81,2.45,1100,19.3,31.1,7.67,14.3,2300,4.9,2317,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
20200801,133,1.2,1013,18,4.7,1608,18,9.9,1605,25.8,30.4,1206,23.7,2205,24.2,26.8,23.2,92.0,71.0,1204,30.2,3.2,2.2,-9.00,1003.3,1011.3,1013.9,5,1009.0,1809,9.5,3.5,14.0,-9.0,13.07,3.05,1100,17.5,22.6,12.08,10.1,2104,3.7,2114,-9.0,-9,-9.0,-9,-9.0,-9,25.4,24.2,23.5,21.0,17.0,
20200801,135,0.9,796,29,3.7,1317,29,6.2,1247,24.8,30.1,1305,22.2,2145,21.5,31.2,22.2,83.0,57.0,1242,25.6,4.4,3.1,-9.00,983.3,1010.9,1013.3,105,1008.7,1902,8.6,4.0,14.0,-9.0,17.29,2.93,1200,0.4,-9.0,-9.00,0.3,1631,0.3,1721,-9.0,-9,-9.0,-9,-9.0,-9,-99.0,-99.0,-99.0,-99.0,-99.0,
