지점번호,지점명,지점주소,관리관서,위도,경도
3,선봉,,,42.3167,130.4
5,삼지연,,,41.8167,128.3167
8,청진,,,41.7833,129.8167
12,안면도(감),,,36.5333,126.3167
13,고산센터,,,33.3,126.16
14,중강,,,41.7833,126.8833
16,혜산,,,41.4,128.1667
20,강계,,,40.9667,126.6
22,풍산,,,40.8167,128.15
25,김책,,,40.6667,129.2
28,수풍,,,40.45,124.9333
31,장진,,,40.3667,127.25
35,신의주,,,40.1,124.3833
37,구성,,,39.9833,125.25
39,희천,,,40.1667,126.25
41,함흥,,,39.9333,127.55
46,신포,,,40.0333,128.1833
50,안주,,,39.6167,125.65
52,양덕,,,39.1667,126.8333
55,원산,,,39.1833,127.4333
58,평양,,,39.0333,125.7833
60,남포,,,38.7167,125.3667
61,장전,,,38.7333,128.1833
65,사리원,,,38.5167,125.7667
67,신계,,,38.5,126.5333
68,용연,,,38.2,124.8833
69,해주,,,38.0333,125.7
70,개성,,,37.9667,126.5667
75,평강,,,38.4,127.3
90,속초,강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소,강릉(구 105),38.2509,128.5647
92,양양공항,,,38.0667,128.6667
93,북춘천,강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9475,127.7547
94,광덕산,춘천기상대(101),,38.1172,127.4333
95,철원,강원특별자치도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042
96,독도,경상북도 울릉군울릉읍 독도이사부길63,울릉도기상대(115),37.2395,131.8698
98,동두천,경기도 동두천시방죽로 16-47동두천서비스센터,수도권기상청(119),37.9019,127.0607
99,파주,경기도 파주시문산읍 마정로46-29(파주기상대),수도권기상청(119),37.8859,126.7665
100,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소,대관령기상대(100),37.6771,128.7183
101,춘천,강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소,춘천기상대(101),37.9026,127.7357
102,백령도,인천광역시 옹진군백령면 진촌리1031,백령도기상대(102),37.974,124.7124
104,북강릉,강원특별자치도 강릉시사천면 과학단지로130 강원지방기상청,강릉(구 105),37.8046,128.8554
105,강릉,강원특별자치도 강릉시용강동 63-20강릉자동기상관측소,강릉(구 105),37.7515,128.891
106,동해,강원특별자치도 동해시중앙로 31동해자동기상관측소,동해기상대(106),37.5071,129.1243
108,서울,서울특별시 종로구송월길 52서울기상관측소,,37.5714,126.9658
110,김포공항,,,37.5569,126.7975
112,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4777,126.6249
113,인천공항,,,37.4625,126.4392
114,원주,강원특별자치도 원주시단구로 159원주자동기상관측소,원주기상대(114),37.3375,127.9466
115,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소,,37.4813,130.8986
116,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소),,37.4453,126.964
119,수원,경기도 수원시권선구 권선로276,,37.2723,126.9853
121,영월,강원특별자치도 영월군영월읍 영월로 1894-25 영월자동기상관측소,춘천기상대(101),37.1813,128.4574
127,충주,충청북도 충주시안림로 55(안림동 521-5번지),청주기상대(131),36.9705,127.9525
129,,,,,
129,서산(농),충청남도 서산시수석1길 124-1,,36.7737,126.4959
